trip_id,arrival_time,departure_time,stop_id,stop_sequence
T0001,06:55:00,06:55:00,S5c91f0b3,1
T0001,06:59:00,06:59:00,Sf0bfd7f8,2
T0001,07:04:00,07:04:00,Sa38788e0,3
T0001,07:12:00,07:12:00,Sb55f7a5f,4
T0001,07:14:00,07:14:00,Se3137954,5
T0001,07:17:00,07:17:00,S58f65e97,6
T0001,07:20:00,07:20:00,Sfb435c94,7
T0001,07:22:00,07:22:00,Sedf87334,8
T0001,07:27:00,07:27:00,S919da6c6,9
T0001,07:30:00,07:30:00,Sd9941388,10
T0001,07:40:00,07:40:00,S08ca865b,11
T0002,07:25:00,07:25:00,S94681615,1
T0002,07:33:00,07:33:00,S7fa56399,2
T0002,07:38:00,07:38:00,S1836d52d,3
T0002,07:43:00,07:43:00,S6baa1e9d,4
T0002,07:50:00,07:50:00,S08ca865b,5
T0003,08:20:00,08:20:00,S94681615,1
T0003,08:28:00,08:28:00,S7fa56399,2
T0003,08:33:00,08:33:00,S1836d52d,3
T0003,08:38:00,08:38:00,S6baa1e9d,4
T0003,08:45:00,08:45:00,S08ca865b,5
T0004,09:15:00,09:15:00,S94681615,1
T0004,09:23:00,09:23:00,S7fa56399,2
T0004,09:28:00,09:28:00,S1836d52d,3
T0004,09:33:00,09:33:00,S6baa1e9d,4
T0004,09:40:00,09:40:00,S08ca865b,5
T0005,07:30:00,07:30:00,Saa5e4320,1
T0005,07:37:00,07:37:00,S8c064352,2
T0005,07:43:00,07:43:00,Scbd2e68b,3
T0005,07:47:00,07:47:00,Sa38788e0,4
T0005,07:54:00,07:54:00,S39c41669,5
T0005,08:00:00,08:00:00,S9db48409,6
T0005,08:02:00,08:02:00,S5575f8ae,7
T0005,08:09:00,08:09:00,Sa291c3bd,8
T0005,08:13:00,08:13:00,Sebcb3aa1,9
T0005,08:16:00,08:16:00,Sf52d4a61,10
T0005,08:30:00,08:30:00,S08ca865b,11
T0006,09:30:00,09:30:00,Saa5e4320,1
T0006,09:35:00,09:35:00,S8c064352,2
T0006,09:39:00,09:39:00,Scbd2e68b,3
T0006,09:43:00,09:43:00,Sa38788e0,4
T0006,09:48:00,09:48:00,S39c41669,5
T0006,09:52:00,09:52:00,S9db48409,6
T0006,09:54:00,09:54:00,S5575f8ae,7
T0006,09:59:00,09:59:00,Sa291c3bd,8
T0006,10:02:00,10:02:00,Sebcb3aa1,9
T0006,10:05:00,10:05:00,Sf52d4a61,10
T0006,10:15:00,10:15:00,S08ca865b,11
T0007,07:50:00,07:50:00,Saa5e4320,1
T0007,07:59:00,07:59:00,S8c064352,2
T0007,08:05:00,08:05:00,Scbd2e68b,3
T0007,08:10:00,08:10:00,Sa38788e0,4
T0007,08:16:00,08:16:00,Sb55f7a5f,5
T0007,08:18:00,08:18:00,Se3137954,6
T0007,08:22:00,08:22:00,S58f65e97,7
T0007,08:25:00,08:25:00,Sfb435c94,8
T0007,08:27:00,08:27:00,Sedf87334,9
T0007,08:31:00,08:31:00,S919da6c6,10
T0007,08:34:00,08:34:00,Sd9941388,11
T0007,08:38:00,08:38:00,S11b02b66,12
T0007,08:45:00,08:45:00,S08ca865b,13
T0008,07:30:00,07:30:00,S79e8e9d0,1
T0008,07:36:00,07:36:00,S14aced4e,2
T0008,07:40:00,07:40:00,Sfd252862,3
T0008,07:48:00,07:48:00,S0ea3ca59,4
T0008,07:59:00,07:59:00,Sc0c5211f,5
T0008,08:05:00,08:05:00,S222005d4,6
T0008,08:18:00,08:18:00,Sbc8c458d,7
T0008,08:28:00,08:28:00,S8f2467aa,8
T0008,08:43:00,08:43:00,S08ca865b,9
T0009,07:20:00,07:20:00,Sbc8c458d,1
T0009,07:28:00,07:28:00,S8f2467aa,2
T0009,07:50:00,07:50:00,S08ca865b,3
T0010,08:50:00,08:50:00,Sbc8c458d,1
T0010,08:58:00,08:58:00,S8f2467aa,2
T0010,09:20:00,09:20:00,S08ca865b,3
T0011,09:20:00,09:20:00,Sbc8c458d,1
T0011,09:28:00,09:28:00,S8f2467aa,2
T0011,09:50:00,09:50:00,S08ca865b,3
T0012,07:00:00,07:00:00,Sc5c3e55a,1
T0012,07:10:00,07:10:00,S08ca865b,2
T0013,07:20:00,07:20:00,Sc5c3e55a,1
T0013,07:30:00,07:30:00,S08ca865b,2
T0014,07:40:00,07:40:00,Sc5c3e55a,1
T0014,07:50:00,07:50:00,S08ca865b,2
T0015,08:00:00,08:00:00,Sc5c3e55a,1
T0015,08:10:00,08:10:00,S08ca865b,2
T0016,08:20:00,08:20:00,Sc5c3e55a,1
T0016,08:30:00,08:30:00,S08ca865b,2
T0017,08:40:00,08:40:00,Sc5c3e55a,1
T0017,08:50:00,08:50:00,S08ca865b,2
T0018,09:00:00,09:00:00,Sc5c3e55a,1
T0018,09:10:00,09:10:00,S08ca865b,2
T0019,09:20:00,09:20:00,Sc5c3e55a,1
T0019,09:30:00,09:30:00,S08ca865b,2
T0020,09:40:00,09:40:00,Sc5c3e55a,1
T0020,09:50:00,09:50:00,S08ca865b,2
T0021,10:00:00,10:00:00,Sc5c3e55a,1
T0021,10:10:00,10:10:00,S08ca865b,2
T0022,15:00:00,15:00:00,S08ca865b,1
T0022,15:10:00,15:10:00,Sb72b0780,2
T0022,15:13:00,15:13:00,S24723770,3
T0022,15:18:00,15:18:00,Sdb6b47f4,4
T0022,15:20:00,15:20:00,S11ad5297,5
T0022,15:23:00,15:23:00,S53457545,6
T0022,15:26:00,15:26:00,S7385e72d,7
T0022,15:28:00,15:28:00,Sb15fabe0,8
T0022,15:36:00,15:36:00,S5d0273fe,9
T0022,15:41:00,15:41:00,Sf0bfd7f8,10
T0022,15:46:00,15:46:00,Scbd2e68b,11
T0023,18:10:00,18:10:00,S08ca865b,1
T0023,18:20:00,18:20:00,Se497bd0e,2
T0023,18:24:00,18:24:00,Sb72b0780,3
T0023,18:35:00,18:35:00,Se57ab05e,4
T0023,18:40:00,18:40:00,S4371e362,5
T0023,18:42:00,18:42:00,S7b8517da,6
T0023,18:48:00,18:48:00,Sdb6b47f4,7
T0023,18:49:00,18:49:00,S11ad5297,8
T0023,18:51:00,18:51:00,S53457545,9
T0023,18:54:00,18:54:00,S7385e72d,10
T0023,18:56:00,18:56:00,Sb15fabe0,11
T0023,19:03:00,19:03:00,S5d0273fe,12
T0023,19:12:00,19:12:00,Scbd2e68b,13
T0023,19:32:00,19:32:00,S0d0cb444,14
T0023,19:40:00,19:40:00,Saa5e4320,15
T0024,16:15:00,16:15:00,S08ca865b,1
T0024,16:22:00,16:22:00,S9730750e,2
T0024,16:27:00,16:27:00,S6e901325,3
T0024,16:32:00,16:32:00,S91a0097e,4
T0024,16:40:00,16:40:00,S94681615,5
T0025,17:15:00,17:15:00,S08ca865b,1
T0025,17:22:00,17:22:00,S9730750e,2
T0025,17:27:00,17:27:00,S6e901325,3
T0025,17:32:00,17:32:00,S91a0097e,4
T0025,17:40:00,17:40:00,S94681615,5
T0026,18:15:00,18:15:00,S08ca865b,1
T0026,18:22:00,18:22:00,S9730750e,2
T0026,18:27:00,18:27:00,S6e901325,3
T0026,18:32:00,18:32:00,S91a0097e,4
T0026,18:40:00,18:40:00,S94681615,5
T0027,16:10:00,16:10:00,S08ca865b,1
T0027,16:24:00,16:24:00,Se57ab05e,2
T0027,16:27:00,16:27:00,S4371e362,3
T0027,16:31:00,16:31:00,S7b8517da,4
T0027,16:38:00,16:38:00,S7b9dd738,5
T0027,16:40:00,16:40:00,S9db48409,6
T0027,16:46:00,16:46:00,S51e68be7,7
T0027,16:53:00,16:53:00,S5d0273fe,8
T0027,16:57:00,16:57:00,Scbd2e68b,9
T0027,17:03:00,17:03:00,S0d0cb444,10
T0027,17:10:00,17:10:00,Saa5e4320,11
T0028,17:15:00,17:15:00,S08ca865b,1
T0028,17:29:00,17:29:00,Se57ab05e,2
T0028,17:32:00,17:32:00,S4371e362,3
T0028,17:36:00,17:36:00,S7b8517da,4
T0028,17:43:00,17:43:00,S7b9dd738,5
T0028,17:45:00,17:45:00,S9db48409,6
T0028,17:51:00,17:51:00,S51e68be7,7
T0028,17:58:00,17:58:00,S5d0273fe,8
T0028,18:02:00,18:02:00,Scbd2e68b,9
T0028,18:08:00,18:08:00,S0d0cb444,10
T0028,18:15:00,18:15:00,Saa5e4320,11
T0029,17:30:00,17:30:00,S08ca865b,1
T0029,17:37:00,17:37:00,Se497bd0e,2
T0029,17:41:00,17:41:00,Sb72b0780,3
T0029,17:44:00,17:44:00,S24723770,4
T0029,17:48:00,17:48:00,Sdb6b47f4,5
T0029,17:50:00,17:50:00,S11ad5297,6
T0029,17:53:00,17:53:00,S53457545,7
T0029,17:57:00,17:57:00,S7385e72d,8
T0029,17:59:00,17:59:00,Sb15fabe0,9
T0029,18:05:00,18:05:00,S5d0273fe,10
T0029,18:10:00,18:10:00,Scbd2e68b,11
T0029,18:16:00,18:16:00,S0d0cb444,12
T0029,18:25:00,18:25:00,Saa5e4320,13
T0030,17:10:00,17:10:00,S08ca865b,1
