stop_id,stop_name,stop_lat,stop_lon
S5c91f0b3,Connolly Station,53.3503316,-6.2504407
Scbd2e68b,Busáras,53.3494928,-6.2522044
Sf0bfd7f8,Burgh Quay,53.347076,-6.258135
Sa38788e0,Pearse Station,53.343156,-6.2497829
Sb55f7a5f,Leeson St,53.3316,-6.252219999999999
Se3137954,Clayton Hotel,53.3297256,-6.248894699999999
S58f65e97,Morehampton Road,53.3263998,-6.242598699999999
Sfb435c94,Donnybrook Church,53.32034889999999,-6.2333455
Sedf87334,Donnybrook Church/Bus Átha Cliath,53.3183302,-6.230562
S919da6c6,St Helens,53.3033221,-6.207834899999999
Sd9941388,Stillorgan Pk Hotel,53.2959702,-6.203687
S08ca865b,One Microsoft Place,53.26896115691636,-6.194936897651476
S94681615,Dun Laoghaire Station,53.29575859112027,-6.138137039856241
S7fa56399,Honey Park,53.282789,-6.1472701
S1836d52d,Deansgrange Village,53.2777573,-6.1648626
S6baa1e9d,"Deansgrange, Foxrock Church",53.2739549,-6.175085699999999
Saa5e4320,Heuston Station,53.346619,-6.291963000000001
S8c064352,Ha'penny Bridge,53.3470935,-6.2614017
S39c41669,Haddington Road,53.3372,-6.239660000000001
S9db48409,American Embassy,53.3303378,-6.2329477
S5575f8ae,RDS 416,53.32864,-6.22942
Sa291c3bd,Booterstown,53.30821509999999,-6.1949492
Sebcb3aa1,Blackrock,53.3014191,-6.186008200000001
Sf52d4a61,Merrion,53.29863530000001,-6.1963479
S11b02b66,Brewery Road,53.28211830000001,-6.1929149
S79e8e9d0,Delhurst Hansfield,53.3920509,-6.438149500000001
S14aced4e,Lohunda Close,53.3866942,-6.401972599999999
Sfd252862,Whitestown Grove,53.3963289,-6.393912500000001
S0ea3ca59,KFC Liffey Valley,53.35354599999999,-6.401230000000002
Sc0c5211f,Gandon Park,53.346619,-6.463084999999999
S222005d4,St Patricks Church,53.3495639,-6.450256599999999
Sbc8c458d,Red Cow (Park & Ride),53.31682781,-6.37069283
S8f2467aa,St Colmcille's Way,53.2794729,-6.3180376
Sc5c3e55a,Sandyford Blackthorn Ave,53.277657,-6.205127199999999
Sb72b0780,Stillorgan Pk Hotel,53.2947675,-6.203502
S24723770,St Helens,53.3030931,-6.208185
Sdb6b47f4,Donnybrook Church/Bus Átha Cliath,53.318571,-6.231378
S11ad5297,Donnybrook Church,53.3201986,-6.2335168
S53457545,Morehampton Road,53.325478,-6.241736
S7385e72d,Clayton Hotel,53.328812,-6.247634
Sb15fabe0,Leeson St,53.3311344,-6.252349
S5d0273fe,Pearse Station,53.3435983,-6.2497452
Sd7031386,Connolly Station,53.3505441,-6.250709100000001
Se497bd0e,Brewery Road,53.2827257,-6.1938599
Se57ab05e,Merrion,53.2989137,-6.1959467
S4371e362,Blackrock,53.3020773,-6.1840311
S7b8517da,Booterstown,53.3078976,-6.1949184
S0d0cb444,Ha'penny Bridge,53.3458642,-6.2638173
S9730750e,"Deansgrange, Foxrock Church",53.2742175,-6.1749616
S6e901325,Deansgrange Village,53.2781995,-6.1644112
S91a0097e,Honey Park,53.2829355,-6.1473227
S7b9dd738,RDS 416,53.32823920000001,-6.2286286
S51e68be7,Haddington Road,53.336574,-6.238907
Sb036469b,Lohunda Close,53.386664,-6.401733200000001
S2ab66e3b,Red Cow (Park & Ride),53.316746,-6.369781
